,Dis No,Year,Neighbors,Total Deaths
301,2016-0270-PAK,2016,2016-0240-PAK,46.0
302,2016-0270-PAK,2016,2016-0375-PAK,32.0
303,2016-0270-PAK,2016,2016-0554-PAK,22.0
304,2016-0270-PAK,2016,2016-0387-PAK,10.0
305,2016-0295-RUS,2016,2016-0227-RUS,
306,2016-0156-IDN,2016,2016-0216-IDN,62.0
307,2016-0057-IDN,2016,2016-0094-IDN,5.0
308,2016-0057-IDN,2016,2016-0040-IDN,8.0
309,2016-0057-IDN,2016,2016-0092-IDN,6.0
310,2016-0306-IDN,2016,2016-0345-IDN,53.0
311,2016-0306-IDN,2016,2016-0425-IDN,2.0
312,2016-0234-IND,2016,2016-0237-IND,93.0
313,2016-0237-IND,2016,2016-0234-IND,11.0
314,2016-0002-IND,2016,2015-0476-IND,
315,2016-0239-IND,2016,2016-0139-IND,18.0
316,2016-0239-IND,2016,2016-0267-IND,50.0
317,2016-0239-IND,2016,2016-0271-IND,254.0
318,2016-0239-IND,2016,2016-0276-IND,184.0
319,2016-0239-IND,2016,2016-0304-IND,37.0
320,2016-0239-IND,2016,2016-0391-IND,28.0
321,2016-0239-IND,2016,2016-0554-IND,34.0
322,2016-0267-IND,2016,2016-0139-IND,18.0
323,2016-0267-IND,2016,2016-0239-IND,61.0
324,2016-0267-IND,2016,2016-0271-IND,254.0
325,2016-0267-IND,2016,2016-0276-IND,184.0
326,2016-0267-IND,2016,2016-0304-IND,37.0
327,2016-0267-IND,2016,2016-0391-IND,28.0
328,2016-0267-IND,2016,2016-0554-IND,34.0
329,2016-0049-IND,2016,2016-0195-IND,10.0
330,2016-0195-IND,2016,2016-0049-IND,10.0
331,2016-0271-IND,2016,2016-0139-IND,18.0
332,2016-0271-IND,2016,2016-0239-IND,61.0
333,2016-0271-IND,2016,2016-0267-IND,50.0
334,2016-0271-IND,2016,2016-0276-IND,184.0
335,2016-0271-IND,2016,2016-0304-IND,37.0
336,2016-0271-IND,2016,2016-0391-IND,28.0
337,2016-0271-IND,2016,2016-0554-IND,34.0
338,2016-0276-IND,2016,2016-0139-IND,18.0
339,2016-0276-IND,2016,2016-0239-IND,61.0
340,2016-0276-IND,2016,2016-0267-IND,50.0
341,2016-0276-IND,2016,2016-0271-IND,254.0
342,2016-0276-IND,2016,2016-0304-IND,37.0
343,2016-0276-IND,2016,2016-0391-IND,28.0
344,2016-0276-IND,2016,2016-0554-IND,34.0
345,2016-0304-IND,2016,2016-0239-IND,61.0
346,2016-0304-IND,2016,2016-0267-IND,50.0
347,2016-0304-IND,2016,2016-0271-IND,254.0
